id,sentiment
1064304659043680257,pos
1064304655176355840,neg
1064304654337695744,pos
1064304652102090752,neg
1064304647601569792,pos
1064304642593570816,neg
1064304639506636801,neg
1064304632418234370,pos
1064304630941704193,pos
1064304623694041088,pos
1064304619378098176,neg
1064304617582993410,pos
1064304613774503937,pos
1064304612285603840,pos
1064304608426774528,neg
1064304607902474240,neg
1064304594866659328,neg
1064304589195919360,pos
1064304571114115072,neg
1064304565670039552,neg
1064304562423693318,pos
1064304559588204544,pos
1064304557432426498,pos
1064304553741438977,neg
1064304552558518272,pos
1064304545826856960,neg
1064304545319149568,neg
1064304544245411840,neg
1064304535504601088,neg
1064304533743067137,pos
1064304530945388551,neg
1064304527531171842,pos
1064304511471296513,neg
1064304508862373888,pos
1064304508740804608,neg
1064304507226660864,neg
1064304505364201472,neg
1064304503934074881,neg
1064304499844673536,neg
1064304499672657920,pos
1064304493456748545,pos
1064304492886327296,pos
1064304491971977216,pos
1064304490726199296,pos
1064304490109693954,pos
1064304476302032897,neg
1064304470249693184,pos
1064304460803919874,pos
1064304455439581190,pos
1064304454776680448,pos
1064304447176744962,pos
1064304436736999424,pos
1064304433834721280,pos
1064304431657828352,neg
1064304428709109760,pos
1064304427253866496,neg
1064304426620465152,pos
1064304423596257280,neg
1064304417242009600,pos
1064304412905086982,neg
1064304408752615424,pos
1064304408169783296,pos
1064304403383894019,pos
1064304399873335296,neg
1064304391887425536,neg
1064304389819486209,pos
1064304387458248704,pos
1064304385742778373,neg
1064304376561336321,pos
1064304373541625856,pos
1064304365878407168,pos
1064304364976787457,pos
1064304357485752325,pos
1064304356676313088,pos
1064304351290826752,pos
1064304348598071296,pos
1064304347033595904,pos
1064304338485608448,neg
1064304338267504641,pos
1064304334630936577,neg
1064304326234001408,neg
1064304325449654272,neg
1064304321226043392,pos
1064304320085020672,neg
1064304317329432576,pos
1064304315559497728,pos
1064304313005166592,neg
1064304306990575616,neg
1064304305455411203,pos
1064304303760904194,neg
1064304302972227584,neg
1064304296735399936,neg
1064304291182129152,pos
1064304288195858437,pos
1064304285180182529,pos
1064304278905470981,neg
1064304272207155201,pos
1064304266406432768,pos
1064304262665125889,neg
1064304256449241088,pos
1064304250484858880,pos
1064304248815415298,pos
1064304242058584064,neg
